Timestamp,Facultad ,Sexo,Edad,Semestre(número),Orientación Sexual,Religión,Estatura(cm),Peso(kg),Cantidad de Parejas Sexuales,Edad Primera Vez,Activo Sexualmente,Frecuencia(Mes),Bachillerato de Origen,Hermanos Edades,Hermanos Sexos,Edad Padre,Escolaridad Padre,Edad Madre,Escolaridad Madre,Delegación,Has tenido relaciones con desconocidos,Consumes bebidas alcohólicas,Frecuencia de consumo al mes(número),Consumes marihuana,Frecuencia al mes(número)
2/5/2020 13:05:33,Facultad de Psicología,Femenino,18,2,Heterosexual,Catolicismo,1.6,45,2,15,Sí,3,Prepa,12,Masculino,50,Bachillerato,45,Licenciatura,Benito Juárez,No,Sí,2,Sí,1
2/5/2020 13:06:12,Facultad de Ciencias,Masculino,18,2,Heterosexual,Catolicismo,1.67,56,1,17,No,0,Prepa,24,Masculino,50,Licenciatura,47,Licenciatura,Tlalpan,Sí,Sí,6,No,0
2/5/2020 13:09:10,Facultad de Arquitectura,Masculino,22,2,Pansexual,Agnosticismo,178,80,50,14,Sí,8,Privada,"25, 20",Hombre y mujer,58,Licenciatura,57,Bachillerato,Estado de México,Sí,Sí,6,Sí,Mucho
2/5/2020 13:10:55,Facultad de Psicología,Femenino,21,8,Heterosexual,Catolicismo,160,58,3,19,Sí,3,CCH,"17, 11",Masculino y femenino,49,Licenciatura,45,Carrera Técnica,Estado de México,No,Sí,3,No,0
2/5/2020 13:14:11,Facultad de Psicología,Masculino,23,2,Heterosexual,Ateismo,174,80,6,18,Sí,7,CCH,25,Mujer,64,Doctorado,57,Maestría,Álvaro Obregón,Sí,Sí,10,Sí,6
2/5/2020 13:14:15,Facultad de Psicología,Masculino,18,2,Heterosexual,Agnosticismo,184,73,5,17,No,4,Prepa,,,64,Maestría,54,Licenciatura,Magdalena Contreras,No,Sí,2,Sí,1
2/5/2020 13:15:29,Facultad de Psicología,Femenino,18,2,Heterosexual,Ateismo,158,52,2,17,Sí,1,CCH,23,Femenino,48,Carrera Técnica,43,Bachillerato,Estado de México,No,Sí,5,No,0
2/5/2020 13:18:49,Facultad de Psicología,Masculino,21,6,Heterosexual,Ateismo,185,72,2,17,Sí,1 a 2 veces al mes,Prepa,19 y 18,Femenino,42,Secundaria,41,Secundaria,Coyoacán,No,Sí,1 vez al mes,No,0
2/5/2020 13:18:52,Facultad de Psicología,Femenino,20,6,Heterosexual,Catolicismo,1.63,48,2,18,No,No,CCH,Ninguno,No,45,Carrera Técnica,40,Carrera Técnica,Tláhuac,No,Sí,6,No,
2/5/2020 13:19:49,Facultad de Psicología,Masculino,20,6,Heterosexual,Agnosticismo,175,66,2,14,Sí,4,Prepa,17,Mujer,49,Licenciatura,50,Licenciatura,Iztapalapa,No,Sí,1,No,
2/5/2020 13:20:55,Facultad de Psicología,Masculino,20,6,Heterosexual,Agnosticismo,1.7,96,2,16,No,Ninguna,Prepa,"25, 30","Masculino, femenino",50,Licenciatura,49,Licenciatura,Venustiano Carranza,No,Sí,1,No,Ninguna
2/5/2020 13:23:17,Facultad de Arquitectura,Femenino,19,4,Heterosexual,Agnosticismo,1.49,42,1,15,Sí,Cada semana,CCH,7,Masculino,46,Licenciatura,42,Licenciatura,Estado de México,No,Sí,1 al mes ,No,
2/5/2020 13:23:49,Facultad de Psicología,Femenino,21,4,Bisexual,Agnosticismo,162,48,2,19,No,0,Prepa,24,Hombre,50,Licenciatura,52,Licenciatura,Coyoacán,No,Sí,2,No,0
2/5/2020 13:27:33,Facultad de Psicología,Femenino,22,8,Heterosexual,Ateismo,156,50,6,17,Sí,14,CCH,"26,28",Mujer y hombre ,62,Doctorado,60,Doctorado,Tlalpan,Sí,No,0,No,0
2/5/2020 13:28:20,Facultad de Psicología,Femenino,22,6,Heterosexual,Catolicismo,150,56,7,17,Sí,35,,23 y 8,Femenino,49,Secundaria,41,Secundaria,Álvaro Obregón,No,Sí,10,Sí,2
2/5/2020 13:32:02,Facultad de Psicología,Masculino,21,6,Heterosexual,Cristianismo,1.7,68,0,,No,No,Prepa,"1,18","1,Femenino",46,Licenciatura,44,Licenciatura,Benito Juárez,No,No,1,No,0
2/5/2020 13:32:31,Facultad de Psicología,Masculino,21,6,Heterosexual,Cristianismo,1.7,68,0,,No,No,Prepa,"1,18","1,Femenino",46,Licenciatura,44,Licenciatura,Benito Juárez,No,No,1,No,0
