,Timestamp,Facultad ,Sexo,Edad,Semestre(número),Orientación Sexual,Religión,Estatura(cm),Peso(kg),Cantidad de Parejas Sexuales,Edad Primera Vez,Activo Sexualmente,Frecuencia(Mes),Bachillerato de Origen,Hermanos Edades,Edad Padre,Escolaridad Padre,Edad Madre,Escolaridad Madre,Delegación,Has tenido relaciones con desconocidos,Consumes bebidas alcohólicas,Frecuencia de consumo al mes(número),Consumes marihuana,Frecuencia al mes(número),Hermana Mujer,Hermano Hombre,Hijo Unico,Hermano Menor,Hermano Enmedio,Hermano Mayor
210,2/5/2020 14:12:46,Facultad de Psicología,Femenino,20,2,Heterosexual,Catolicismo,156.0,69.0,0.0,0.0,No,0,Otro,"14, 9",49.0,Licenciatura,48.0,Licenciatura,Coyoacán,No,No,0,No,0,1,0,0,0,0,1
211,2/5/2020 14:14:28,Facultad de Psicología,Masculino,18,2,Bisexual,Catolicismo,170.0,73.0,5.0,13.0,Sí,2,Prepa,"26 años, 8 años ",47.0,Secundaria,45.0,Secundaria,Iztapalapa,Sí,Sí,20,No,1,1,0,0,0,1,0
212,2/5/2020 14:17:13,Facultad de Psicología,Masculino,19,4,Heterosexual,Catolicismo,176.0,76.0,5.0,16.0,Sí,9,Prepa,29,48.0,Bachillerato,49.0,Bachillerato,Cuajimalpa de Morelos,Sí,Sí,2,No,0,1,0,0,1,0,0
213,2/5/2020 14:17:37,Facultad de Psicología,Masculino,20,4,Bisexual,Cristianismo,170.0,60.0,,,No,0,Prepa,24,49.0,Secundaria,46.0,Carrera Técnica,Xochimilco,No,Sí,1,No,0,0,0,0,1,0,0
214,2/5/2020 14:18:40,Facultad de Psicología,Femenino,19,4,Heterosexual,Catolicismo,153.0,48.0,2.0,17.0,No,6,CCH,18,51.0,Carrera Técnica,49.0,Secundaria,Estado de México,No,Sí,2,No,0,0,0,0,0,0,1
215,2/5/2020 14:19:44,Facultad de Psicología,Femenino,19,4,Heterosexual,Catolicismo,155.0,43.0,1.0,17.0,Sí,7,Prepa,"2, 13, 16",40.0,Bachillerato,38.0,Licenciatura,Álvaro Obregón,No,Sí,4,No,0,1,1,0,0,0,1
216,2/5/2020 14:22:40,Facultad de Psicología,Femenino,18,2,Heterosexual,Catolicismo,162.0,68.0,1.0,17.0,No,0,Prepa,No,42.0,Secundaria,37.0,Bachillerato,Iztapalapa,No,Sí,1,No,0,0,0,1,0,0,0
217,2/5/2020 14:23:04,Facultad de Psicología,Femenino,19,2,Heterosexual,Agnosticismo,160.0,43.0,1.0,18.0,Sí,4,Privada,"13,16",60.0,Licenciatura,45.0,Maestría,Tlalpan,No,No,0,No,0,1,1,0,0,0,1
218,2/5/2020 14:23:36,Facultad de Psicología,Femenino,19,2,Bisexual,Catolicismo,147.0,55.0,5.0,15.0,Sí,8,CCH,"1, 29",65.0,Licenciatura,51.0,Bachillerato,Gustavo A. Madero,No,Sí,4,No,0,0,1,0,0,1,0
219,2/5/2020 14:33:26,Facultad de Psicología,Femenino,19,4,Heterosexual,Catolicismo,155.0,50.0,1.0,17.0,No,0,Prepa," 21, 11.",57.0,Bachillerato,50.0,Licenciatura,Xochimilco,No,No,0,No,0,0,1,0,0,1,0
220,2/5/2020 14:36:47,Facultad de Arquitectura,Masculino,21,2,Heterosexual,Agnosticismo,175.0,73.0,1.0,18.0,No,1,Prepa,0,51.0,Bachillerato,49.0,Maestría,Estado de México,No,Sí,1,No,0,0,0,0,0,0,1
221,2/5/2020 15:38:20,Facultad de Psicología,Femenino,20,4,Bisexual,Catolicismo,154.0,60.0,4.0,16.0,Sí,1,Prepa,9 y 5 años,50.0,Licenciatura,48.0,Licenciatura,Coyoacán,No,Sí,1,No,0,1,0,0,0,0,1
222,2/5/2020 15:44:12,Facultad de Ingeniería,Masculino,19,2,Heterosexual,Ateismo,170.0,60.0,1.0,17.0,Sí,4,Prepa,15 y 23,48.0,Licenciatura,,Bachillerato,Iztacalco,No,No,0,No,0,1,0,0,0,1,0
223,2/5/2020 15:56:12,Facultad de Medicina,Masculino,27,9,Heterosexual,Catolicismo,169.0,62.0,20.0,15.0,Sí,4,Privada,No,58.0,Licenciatura,57.0,Bachillerato,Magdalena Contreras,Sí,Sí,1,No,0,0,0,1,0,0,0
224,2/5/2020 15:59:41,Facultad de Odontología,Femenino,19,2,Heterosexual,Catolicismo,160.0,55.0,0.0,0.0,No,0,CCH,"17, 20",43.0,Carrera Técnica,40.0,Licenciatura,Tlalpan,No,No,0,No,0,0,1,0,0,1,0
225,2/5/2020 16:08:16,Facultad de Ciencias Politicas y Sociales,Masculino,21,4,Heterosexual,Ateismo,181.0,75.0,1.0,16.0,Sí,4,Prepa,"30, 28, 20",55.0,Carrera Técnica,55.0,Carrera Técnica,Coyoacán,No,Sí,1,Sí,1,0,1,0,0,1,0
226,2/5/2020 16:15:38,Facultad de Psicología,Femenino,21,6,Heterosexual,Catolicismo,156.0,49.0,1.0,18.0,Sí,4,CCH,2: 17 y 9 años,45.0,Carrera Técnica,44.0,Bachillerato,Álvaro Obregón,No,Sí,1,No,0,0,0,0,0,0,1
227,2/5/2020 16:50:31,Facultad de Psicología,Masculino,19,4,Heterosexual,Ateismo,177.0,78.0,1.0,19.0,No,0,CCH,3 años y 2 hermanos,48.0,Doctorado,49.0,Maestría,Cuauhtémoc,No,No,0,No,0,1,0,0,0,0,1
228,2/5/2020 20:51:57,Facultad de Derecho,Femenino,19,2,Heterosexual,Ateismo,155.0,68.0,2.0,15.0,Sí,2,CCH,No,45.0,Licenciatura,44.0,Licenciatura,Estado de México,No,Sí,2,No,0,0,0,1,0,0,0
229,2/5/2020 21:54:45,Facultad de Ciencias,Masculino,20,6,Heterosexual,Agnosticismo,167.0,68.0,3.0,16.0,No,1,CCH,15,46.0,Bachillerato,41.0,Secundaria,Estado de México,No,Sí,4,No,0,1,0,0,0,0,1
230,2/5/2020 23:13:12,Facultad de Derecho,Femenino,20,2,Heterosexual,Cristianismo,165.0,58.0,1.0,19.0,No,0,Prepa,17,,Licenciatura,40.0,Bachillerato,Coyoacán,No,Sí,2,No,0,0,1,0,0,0,1
231,2/6/2020 14:25:38,Facultad de Ciencias Politicas y Sociales,Masculino,22,5,Heterosexual,Agnosticismo,168.0,70.0,2.0,21.0,Sí,1,Privada,20,49.0,Maestría,49.0,Secundaria,Iztapalapa,No,Sí,7,No,0,0,1,0,0,0,1
232,2/7/2020 8:37:56,Facultad de Ciencias,Masculino,19,4,Heterosexual,Agnosticismo,170.0,60.0,3.0,17.0,Sí,10,Prepa,15,51.0,Licenciatura,50.0,Maestría,Miguel Hidalgo,No,Sí,3,No,0,0,1,0,0,0,1
233,2/7/2020 8:38:06,Facultad de Ciencias,Masculino,19,4,Heterosexual,Agnosticismo,170.0,60.0,3.0,17.0,Sí,10,Prepa,15,51.0,Licenciatura,50.0,Maestría,Miguel Hidalgo,No,Sí,3,No,0,0,1,0,0,0,1
234,2/7/2020 8:40:13,Facultad de Ciencias,Femenino,20,4,Bisexual,Agnosticismo,151.0,43.0,6.0,16.0,Sí,1,CCH,"16,16",45.0,Carrera Técnica,48.0,Carrera Técnica,Tlalpan,No,Sí,1,No,0,0,1,0,0,0,1
235,2/7/2020 8:42:00,Facultad de Ciencias,Masculino,19,2,Heterosexual,Ateismo,175.0,70.0,4.0,16.0,Sí,4,CCH,18,48.0,Secundaria,50.0,Bachillerato,Estado de México,Sí,Sí,1,No,0,1,0,0,0,0,1
236,2/7/2020 8:43:02,Facultad de Ciencias,Femenino,19,4,Heterosexual,Catolicismo,155.0,50.0,1.0,18.0,Sí,1,Prepa,22,51.0,Licenciatura,49.0,Licenciatura,Tláhuac,No,Sí,1,No,0,1,0,0,1,0,0
