,Timestamp,Facultad ,Sexo,Edad,Semestre(número),Orientación Sexual,Religión,Estatura(cm),Peso(kg),Cantidad de Parejas Sexuales,Edad Primera Vez,Activo Sexualmente,Frecuencia(Mes),Bachillerato de Origen,Hermanos Edades,Edad Padre,Escolaridad Padre,Edad Madre,Escolaridad Madre,Delegación,Has tenido relaciones con desconocidos,Consumes bebidas alcohólicas,Frecuencia de consumo al mes(número),Consumes marihuana,Frecuencia al mes(número),Hermana Mujer,Hermano Hombre,Hijo Unico,Hermano Menor,Hermano Enmedio,Hermano Mayor
46,2/4/2020 13:09:15,10.0,0.0,9.0,7.0,1.0,3.0,15.0,17.0,5.0,6.0,1.0,4.0,0.0,108.0,18.0,5.0,17.0,1.0,12.0,0.0,1.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
47,2/4/2020 13:12:04,10.0,0.0,5.0,7.0,1.0,3.0,10.0,50.0,0.0,6.0,0.0,0.0,1.0,85.0,17.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
48,2/4/2020 13:16:27,10.0,1.0,3.0,5.0,1.0,1.0,29.0,47.0,2.0,7.0,1.0,4.0,3.0,13.0,16.0,0.0,16.0,3.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
49,2/4/2020 13:17:42,10.0,0.0,3.0,5.0,1.0,2.0,19.0,24.0,1.0,9.0,1.0,2.0,2.0,24.0,13.0,3.0,13.0,3.0,8.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
50,2/4/2020 13:20:47,10.0,0.0,3.0,5.0,1.0,2.0,15.0,19.0,2.0,6.0,1.0,2.0,2.0,21.0,13.0,5.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
51,2/4/2020 13:21:06,10.0,0.0,5.0,7.0,1.0,2.0,20.0,14.0,4.0,5.0,1.0,6.0,2.0,155.0,18.0,4.0,18.0,3.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52,2/4/2020 13:23:14,10.0,0.0,10.0,3.0,1.0,2.0,15.0,29.0,13.0,6.0,1.0,1.0,3.0,1.0,21.0,3.0,14.0,0.0,16.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,2/4/2020 13:25:38,10.0,0.0,7.0,7.0,1.0,2.0,10.0,15.0,4.0,8.0,1.0,2.0,0.0,96.0,20.0,0.0,16.0,0.0,13.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
54,2/4/2020 13:26:16,10.0,0.0,3.0,5.0,1.0,2.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,105.0,5.0,3.0,22.0,5.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55,2/4/2020 13:26:29,10.0,1.0,3.0,5.0,1.0,1.0,34.0,34.0,13.0,3.0,1.0,2.0,2.0,125.0,11.0,3.0,9.0,3.0,10.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
56,2/4/2020 13:31:40,10.0,0.0,2.0,3.0,1.0,2.0,1.0,15.0,1.0,5.0,1.0,16.0,2.0,57.0,16.0,2.0,15.0,2.0,16.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
57,2/4/2020 13:35:36,10.0,0.0,5.0,5.0,1.0,1.0,8.0,23.0,1.0,4.0,1.0,12.0,0.0,155.0,20.0,0.0,18.0,0.0,8.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
58,2/4/2020 13:43:27,10.0,0.0,4.0,6.0,1.0,2.0,11.0,12.0,11.0,7.0,1.0,2.0,0.0,77.0,23.0,3.0,22.0,3.0,12.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
59,2/4/2020 13:47:06,10.0,0.0,3.0,5.0,1.0,2.0,15.0,22.0,2.0,6.0,1.0,1.0,0.0,143.0,26.0,5.0,26.0,5.0,8.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
60,2/4/2020 13:47:42,10.0,0.0,3.0,5.0,1.0,0.0,20.0,31.0,9.0,4.0,1.0,1.0,2.0,48.0,11.0,3.0,15.0,3.0,14.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
